'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
0,-1.702,-2.408,-0.707,2.054,-0.497,-1.557,-0.713,-0.741,-0.673,-0.902,-1.124,-1.157,-0.338,0.364,0.276
0.001,-1.705,-2.408,-0.703,2.057,-0.5,-1.556,-0.714,-0.742,-0.672,-0.901,-1.125,-1.159,-0.34,0.367,0.275
0.002,-1.704,-2.409,-0.704,2.057,-0.5,-1.556,-0.711,-0.74,-0.672,-0.901,-1.124,-1.158,-0.34,0.372,0.276
0.003,-1.706,-2.408,-0.703,2.057,-0.501,-1.556,-0.714,-0.74,-0.674,-0.904,-1.127,-1.159,-0.341,0.37,0.276
0.004,-1.709,-2.409,-0.7,2.058,-0.504,-1.554,-0.711,-0.738,-0.673,-0.903,-1.125,-1.16,-0.341,0.368,0.274
0.005,-1.702,-2.404,-0.702,2.053,-0.499,-1.553,-0.712,-0.742,-0.675,-0.906,-1.125,-1.159,-0.346,0.371,0.274
0.006,-1.7,-2.401,-0.702,2.05,-0.499,-1.552,-0.712,-0.74,-0.672,-0.904,-1.123,-1.159,-0.344,0.376,0.275
0.007,-1.704,-2.405,-0.701,2.054,-0.501,-1.552,-0.709,-0.739,-0.672,-0.904,-1.124,-1.161,-0.339,0.37,0.277
0.008,-1.704,-2.401,-0.698,2.053,-0.502,-1.55,-0.71,-0.738,-0.669,-0.906,-1.125,-1.159,-0.342,0.372,0.277
0.009,-1.703,-2.401,-0.699,2.052,-0.501,-1.55,-0.71,-0.737,-0.67,-0.907,-1.123,-1.157,-0.341,0.373,0.276
0.01,-1.701,-2.403,-0.702,2.052,-0.499,-1.552,-0.71,-0.741,-0.677,-0.914,-1.128,-1.159,-0.341,0.371,0.277
0.011,-1.7,-2.401,-0.7,2.05,-0.499,-1.55,-0.709,-0.739,-0.674,-0.915,-1.125,-1.158,-0.341,0.373,0.278
0.012,-1.695,-2.396,-0.701,2.046,-0.497,-1.548,-0.709,-0.741,-0.673,-0.914,-1.124,-1.157,-0.341,0.372,0.277
0.013,-1.694,-2.396,-0.702,2.045,-0.495,-1.548,-0.709,-0.742,-0.674,-0.913,-1.125,-1.157,-0.341,0.372,0.278
0.014,-1.696,-2.398,-0.701,2.047,-0.497,-1.55,-0.71,-0.74,-0.674,-0.912,-1.125,-1.157,-0.34,0.37,0.279
0.015,-1.701,-2.401,-0.7,2.05,-0.5,-1.55,-0.708,-0.74,-0.674,-0.91,-1.124,-1.157,-0.343,0.365,0.279
0.016,-1.702,-2.402,-0.701,2.053,-0.5,-1.552,-0.705,-0.74,-0.675,-0.911,-1.123,-1.158,-0.343,0.367,0.28
0.017,-1.701,-2.401,-0.701,2.051,-0.499,-1.551,-0.705,-0.74,-0.674,-0.91,-1.121,-1.157,-0.341,0.368,0.279
0.018,-1.701,-2.401,-0.701,2.051,-0.5,-1.551,-0.704,-0.739,-0.674,-0.906,-1.121,-1.157,-0.34,0.365,0.278
0.019,-1.7,-2.402,-0.703,2.051,-0.498,-1.553,-0.705,-0.741,-0.678,-0.908,-1.124,-1.159,-0.341,0.363,0.278
0.02,-1.7,-2.402,-0.702,2.051,-0.498,-1.552,-0.704,-0.742,-0.678,-0.906,-1.123,-1.158,-0.341,0.359,0.277
0.021,-1.702,-2.4,-0.699,2.051,-0.501,-1.549,-0.707,-0.742,-0.678,-0.905,-1.126,-1.161,-0.342,0.361,0.277
0.022,-1.702,-2.401,-0.699,2.052,-0.501,-1.55,-0.706,-0.741,-0.678,-0.905,-1.126,-1.161,-0.342,0.361,0.277
0.023,-1.701,-2.401,-0.7,2.051,-0.499,-1.551,-0.704,-0.741,-0.675,-0.905,-1.124,-1.159,-0.341,0.361,0.278
0.024,-1.702,-2.401,-0.7,2.051,-0.5,-1.55,-0.708,-0.743,-0.676,-0.91,-1.125,-1.161,-0.344,0.366,0.278
0.025,-1.703,-2.4,-0.697,2.051,-0.502,-1.548,-0.707,-0.744,-0.678,-0.912,-1.125,-1.161,-0.344,0.368,0.277
0.026,-1.704,-2.399,-0.696,2.051,-0.503,-1.548,-0.707,-0.742,-0.678,-0.912,-1.127,-1.159,-0.343,0.371,0.277
0.027,-1.702,-2.398,-0.697,2.05,-0.502,-1.547,-0.709,-0.743,-0.677,-0.914,-1.126,-1.16,-0.344,0.369,0.278
0.028,-1.698,-2.396,-0.698,2.047,-0.499,-1.547,-0.709,-0.744,-0.677,-0.916,-1.127,-1.159,-0.342,0.369,0.277
0.029,-1.699,-2.397,-0.699,2.048,-0.499,-1.548,-0.708,-0.741,-0.676,-0.917,-1.126,-1.158,-0.343,0.375,0.276
0.03,-1.702,-2.399,-0.697,2.05,-0.502,-1.548,-0.708,-0.739,-0.676,-0.918,-1.125,-1.159,-0.343,0.381,0.276
0.031,-1.702,-2.401,-0.699,2.051,-0.5,-1.55,-0.708,-0.741,-0.675,-0.919,-1.125,-1.159,-0.343,0.379,0.277
0.032,-1.699,-2.401,-0.702,2.05,-0.498,-1.552,-0.709,-0.743,-0.676,-0.919,-1.125,-1.159,-0.344,0.375,0.278
0.033,-1.696,-2.399,-0.703,2.047,-0.496,-1.55,-0.708,-0.742,-0.675,-0.916,-1.124,-1.157,-0.342,0.377,0.278
0.034,-1.694,-2.398,-0.704,2.046,-0.495,-1.551,-0.707,-0.74,-0.674,-0.915,-1.123,-1.155,-0.342,0.374,0.279
0.035,-1.694,-2.398,-0.703,2.046,-0.495,-1.55,-0.708,-0.743,-0.677,-0.915,-1.124,-1.159,-0.343,0.372,0.279
0.036,-1.696,-2.398,-0.703,2.047,-0.496,-1.55,-0.707,-0.743,-0.678,-0.914,-1.126,-1.159,-0.343,0.372,0.278
0.037,-1.695,-2.397,-0.702,2.046,-0.496,-1.55,-0.707,-0.742,-0.678,-0.911,-1.125,-1.157,-0.342,0.376,0.278
0.038,-1.694,-2.397,-0.702,2.046,-0.496,-1.549,-0.708,-0.741,-0.679,-0.908,-1.125,-1.157,-0.341,0.381,0.276
0.039,-1.696,-2.398,-0.703,2.047,-0.496,-1.55,-0.71,-0.741,-0.678,-0.907,-1.125,-1.155,-0.34,0.383,0.276
0.04,-1.694,-2.399,-0.705,2.046,-0.494,-1.552,-0.71,-0.742,-0.678,-0.905,-1.124,-1.157,-0.341,0.383,0.276
0.041,-1.698,-2.4,-0.702,2.049,-0.498,-1.55,-0.709,-0.743,-0.679,-0.904,-1.125,-1.157,-0.341,0.382,0.277
0.042,-1.704,-2.402,-0.699,2.053,-0.502,-1.55,-0.709,-0.743,-0.679,-0.904,-1.125,-1.157,-0.342,0.377,0.278
0.043,-1.708,-2.408,-0.7,2.058,-0.504,-1.553,-0.709,-0.743,-0.679,-0.906,-1.127,-1.157,-0.343,0.368,0.278
0.044,-1.706,-2.409,-0.702,2.057,-0.501,-1.555,-0.712,-0.748,-0.682,-0.908,-1.129,-1.158,-0.342,0.369,0.279
0.045,-1.702,-2.405,-0.704,2.054,-0.499,-1.554,-0.711,-0.749,-0.681,-0.91,-1.129,-1.159,-0.342,0.368,0.278
0.046,-1.704,-2.407,-0.703,2.056,-0.5,-1.554,-0.71,-0.746,-0.679,-0.909,-1.127,-1.159,-0.343,0.367,0.278
0.047,-1.704,-2.409,-0.704,2.057,-0.499,-1.556,-0.711,-0.748,-0.681,-0.912,-1.127,-1.159,-0.343,0.366,0.279
0.048,-1.706,-2.408,-0.703,2.057,-0.501,-1.555,-0.711,-0.747,-0.682,-0.914,-1.127,-1.159,-0.344,0.367,0.278
0.049,-1.709,-2.411,-0.703,2.06,-0.502,-1.556,-0.712,-0.745,-0.68,-0.917,-1.127,-1.159,-0.346,0.369,0.279
0.05,-1.708,-2.412,-0.704,2.059,-0.501,-1.558,-0.711,-0.745,-0.68,-0.917,-1.124,-1.159,-0.343,0.368,0.28
0.051,-1.711,-2.414,-0.703,2.062,-0.503,-1.558,-0.708,-0.744,-0.679,-0.918,-1.123,-1.159,-0.341,0.364,0.28
0.052,-1.714,-2.416,-0.703,2.064,-0.504,-1.559,-0.709,-0.748,-0.68,-0.921,-1.131,-1.161,-0.345,0.361,0.281
0.053,-1.714,-2.416,-0.702,2.064,-0.506,-1.558,-0.71,-0.749,-0.682,-0.918,-1.129,-1.163,-0.345,0.364,0.281
0.054,-1.714,-2.415,-0.702,2.064,-0.505,-1.558,-0.709,-0.749,-0.682,-0.917,-1.125,-1.16,-0.344,0.364,0.281
0.055,-1.712,-2.413,-0.702,2.062,-0.504,-1.557,-0.711,-0.749,-0.683,-0.918,-1.127,-1.161,-0.343,0.362,0.279
0.056,-1.714,-2.412,-0.699,2.062,-0.507,-1.555,-0.708,-0.746,-0.681,-0.913,-1.125,-1.159,-0.342,0.372,0.279
0.057,-1.715,-2.412,-0.698,2.063,-0.508,-1.555,-0.707,-0.746,-0.682,-0.911,-1.125,-1.159,-0.342,0.375,0.279
0.058,-1.714,-2.416,-0.701,2.065,-0.506,-1.558,-0.707,-0.748,-0.682,-0.91,-1.126,-1.16,-0.343,0.367,0.278
0.059,-1.712,-2.414,-0.704,2.062,-0.503,-1.558,-0.705,-0.748,-0.681,-0.907,-1.125,-1.159,-0.344,0.365,0.278
0.06,-1.712,-2.413,-0.702,2.062,-0.504,-1.558,-0.706,-0.747,-0.683,-0.904,-1.127,-1.158,-0.343,0.365,0.278
0.061,-1.71,-2.412,-0.703,2.061,-0.503,-1.558,-0.706,-0.745,-0.681,-0.903,-1.124,-1.157,-0.342,0.367,0.277
0.062,-1.706,-2.41,-0.704,2.058,-0.5,-1.557,-0.707,-0.744,-0.681,-0.904,-1.122,-1.157,-0.342,0.363,0.278
0.063,-1.707,-2.41,-0.704,2.059,-0.501,-1.557,-0.707,-0.746,-0.682,-0.906,-1.125,-1.159,-0.343,0.366,0.278
0.064,-1.708,-2.409,-0.702,2.058,-0.502,-1.556,-0.707,-0.746,-0.682,-0.907,-1.124,-1.16,-0.344,0.369,0.277
0.065,-1.71,-2.412,-0.703,2.061,-0.503,-1.557,-0.708,-0.745,-0.681,-0.906,-1.125,-1.159,-0.343,0.363,0.278
0.066,-1.707,-2.411,-0.704,2.059,-0.501,-1.558,-0.707,-0.746,-0.68,-0.905,-1.123,-1.158,-0.341,0.366,0.278
0.067,-1.706,-2.409,-0.703,2.057,-0.501,-1.556,-0.707,-0.746,-0.682,-0.907,-1.125,-1.159,-0.343,0.366,0.278
0.068,-1.705,-2.407,-0.702,2.056,-0.501,-1.554,-0.707,-0.744,-0.681,-0.909,-1.125,-1.159,-0.344,0.366,0.277
0.069,-1.702,-2.402,-0.701,2.051,-0.5,-1.551,-0.707,-0.743,-0.681,-0.912,-1.127,-1.161,-0.345,0.375,0.277
0.07,-1.706,-2.404,-0.698,2.054,-0.503,-1.55,-0.705,-0.743,-0.681,-0.914,-1.129,-1.161,-0.346,0.374,0.278
0.071,-1.706,-2.405,-0.699,2.056,-0.503,-1.552,-0.705,-0.744,-0.681,-0.913,-1.128,-1.16,-0.346,0.365,0.278
0.072,-1.702,-2.402,-0.7,2.052,-0.501,-1.55,-0.707,-0.745,-0.682,-0.912,-1.127,-1.159,-0.344,0.364,0.278
0.073,-1.7,-2.401,-0.702,2.05,-0.499,-1.552,-0.707,-0.743,-0.681,-0.91,-1.125,-1.159,-0.343,0.37,0.276
0.074,-1.698,-2.401,-0.704,2.05,-0.496,-1.552,-0.705,-0.742,-0.68,-0.91,-1.124,-1.16,-0.344,0.374,0.276
0.075,-1.698,-2.4,-0.702,2.049,-0.498,-1.55,-0.707,-0.742,-0.68,-0.91,-1.124,-1.159,-0.345,0.373,0.276
0.076,-1.698,-2.404,-0.705,2.051,-0.496,-1.554,-0.708,-0.744,-0.681,-0.91,-1.129,-1.161,-0.345,0.367,0.277
0.077,-1.698,-2.403,-0.706,2.05,-0.495,-1.554,-0.708,-0.745,-0.681,-0.908,-1.129,-1.159,-0.344,0.365,0.278
0.078,-1.695,-2.398,-0.703,2.046,-0.495,-1.55,-0.709,-0.744,-0.679,-0.905,-1.127,-1.159,-0.343,0.368,0.276
0.079,-1.694,-2.398,-0.704,2.046,-0.494,-1.551,-0.709,-0.746,-0.681,-0.903,-1.127,-1.16,-0.343,0.366,0.276
0.08,-1.697,-2.4,-0.702,2.048,-0.497,-1.55,-0.711,-0.747,-0.683,-0.902,-1.126,-1.161,-0.344,0.361,0.275
0.081,-1.698,-2.398,-0.701,2.048,-0.498,-1.55,-0.71,-0.746,-0.684,-0.903,-1.127,-1.161,-0.343,0.363,0.275
0.082,-1.7,-2.399,-0.7,2.05,-0.499,-1.549,-0.71,-0.746,-0.685,-0.902,-1.127,-1.16,-0.343,0.365,0.276
0.083,-1.702,-2.402,-0.701,2.052,-0.5,-1.552,-0.711,-0.748,-0.686,-0.904,-1.127,-1.161,-0.344,0.362,0.276
0.084,-1.698,-2.402,-0.704,2.05,-0.497,-1.552,-0.712,-0.746,-0.685,-0.903,-1.125,-1.161,-0.343,0.36,0.275
0.085,-1.698,-2.402,-0.704,2.05,-0.496,-1.553,-0.712,-0.744,-0.683,-0.902,-1.123,-1.159,-0.342,0.362,0.275
0.086,-1.7,-2.402,-0.702,2.051,-0.498,-1.552,-0.712,-0.745,-0.683,-0.904,-1.123,-1.159,-0.343,0.36,0.275
0.087,-1.699,-2.399,-0.7,2.049,-0.499,-1.55,-0.712,-0.745,-0.683,-0.903,-1.121,-1.158,-0.34,0.357,0.275
0.088,-1.698,-2.397,-0.699,2.049,-0.499,-1.548,-0.711,-0.745,-0.682,-0.903,-1.123,-1.159,-0.34,0.361,0.274
0.089,-1.699,-2.398,-0.699,2.049,-0.499,-1.548,-0.711,-0.745,-0.681,-0.906,-1.123,-1.16,-0.344,0.365,0.274
0.09,-1.696,-2.393,-0.698,2.044,-0.498,-1.546,-0.71,-0.744,-0.682,-0.908,-1.121,-1.158,-0.347,0.369,0.272
0.091,-1.693,-2.393,-0.701,2.043,-0.496,-1.547,-0.71,-0.744,-0.682,-0.906,-1.121,-1.157,-0.341,0.367,0.275
0.092,-1.694,-2.394,-0.7,2.043,-0.496,-1.547,-0.709,-0.744,-0.681,-0.905,-1.119,-1.158,-0.339,0.366,0.278
0.093,-1.692,-2.388,-0.696,2.04,-0.498,-1.542,-0.708,-0.742,-0.681,-0.904,-1.117,-1.159,-0.344,0.372,0.274
0.094,-1.694,-2.393,-0.7,2.043,-0.497,-1.546,-0.706,-0.742,-0.679,-0.902,-1.117,-1.158,-0.343,0.367,0.276
0.095,-1.694,-2.393,-0.699,2.043,-0.497,-1.546,-0.707,-0.743,-0.68,-0.902,-1.118,-1.158,-0.344,0.363,0.275
0.096,-1.69,-2.388,-0.698,2.039,-0.496,-1.542,-0.707,-0.74,-0.678,-0.901,-1.116,-1.157,-0.342,0.365,0.276
0.097,-1.691,-2.389,-0.698,2.039,-0.496,-1.543,-0.704,-0.739,-0.674,-0.898,-1.117,-1.155,-0.344,0.361,0.276
0.098,-1.691,-2.388,-0.697,2.039,-0.496,-1.542,-0.706,-0.74,-0.675,-0.896,-1.117,-1.155,-0.343,0.365,0.274
0.099,-1.692,-2.389,-0.697,2.041,-0.497,-1.543,-0.707,-0.741,-0.675,-0.894,-1.116,-1.155,-0.341,0.371,0.276
0.1,-1.692,-2.392,-0.701,2.042,-0.495,-1.546,-0.707,-0.741,-0.674,-0.891,-1.116,-1.155,-0.342,0.369,0.275
0.101,-1.688,-2.392,-0.704,2.04,-0.491,-1.548,-0.71,-0.741,-0.674,-0.891,-1.117,-1.155,-0.341,0.366,0.274
0.102,-1.688,-2.39,-0.702,2.039,-0.492,-1.546,-0.71,-0.741,-0.673,-0.894,-1.115,-1.157,-0.343,0.366,0.273
0.103,-1.693,-2.395,-0.702,2.044,-0.495,-1.548,-0.705,-0.739,-0.672,-0.893,-1.115,-1.155,-0.344,0.365,0.273
0.104,-1.692,-2.393,-0.702,2.043,-0.495,-1.548,-0.706,-0.739,-0.673,-0.895,-1.115,-1.157,-0.344,0.365,0.274
0.105,-1.689,-2.388,-0.7,2.038,-0.494,-1.544,-0.709,-0.739,-0.673,-0.894,-1.113,-1.157,-0.344,0.372,0.273
0.106,-1.687,-2.385,-0.699,2.035,-0.493,-1.542,-0.707,-0.739,-0.671,-0.894,-1.111,-1.153,-0.342,0.379,0.272
0.107,-1.685,-2.384,-0.7,2.034,-0.492,-1.542,-0.707,-0.738,-0.673,-0.896,-1.112,-1.155,-0.343,0.372,0.273
0.108,-1.684,-2.384,-0.7,2.034,-0.491,-1.542,-0.708,-0.74,-0.673,-0.899,-1.114,-1.157,-0.344,0.371,0.272
0.109,-1.685,-2.384,-0.7,2.034,-0.492,-1.542,-0.705,-0.741,-0.673,-0.902,-1.114,-1.155,-0.344,0.368,0.274
0.11,-1.685,-2.382,-0.697,2.034,-0.493,-1.54,-0.704,-0.737,-0.672,-0.901,-1.113,-1.153,-0.344,0.364,0.275
0.111,-1.681,-2.378,-0.698,2.03,-0.491,-1.538,-0.704,-0.736,-0.671,-0.902,-1.111,-1.151,-0.344,0.367,0.275
0.112,-1.681,-2.378,-0.698,2.03,-0.491,-1.538,-0.707,-0.737,-0.671,-0.902,-1.111,-1.153,-0.344,0.369,0.275
0.113,-1.681,-2.376,-0.695,2.029,-0.493,-1.536,-0.708,-0.738,-0.67,-0.9,-1.111,-1.153,-0.344,0.377,0.274
0.114,-1.683,-2.377,-0.693,2.03,-0.494,-1.535,-0.706,-0.736,-0.672,-0.898,-1.111,-1.153,-0.344,0.374,0.274
0.115,-1.685,-2.377,-0.693,2.031,-0.495,-1.535,-0.707,-0.734,-0.672,-0.897,-1.113,-1.153,-0.345,0.372,0.274
0.116,-1.681,-2.378,-0.697,2.03,-0.491,-1.538,-0.708,-0.737,-0.673,-0.898,-1.114,-1.154,-0.344,0.37,0.274
0.117,-1.681,-2.38,-0.698,2.03,-0.491,-1.539,-0.708,-0.738,-0.675,-0.898,-1.113,-1.154,-0.344,0.368,0.273
0.118,-1.685,-2.38,-0.696,2.033,-0.494,-1.538,-0.707,-0.737,-0.674,-0.896,-1.113,-1.155,-0.345,0.373,0.272
0.119,-1.683,-2.377,-0.695,2.03,-0.493,-1.536,-0.708,-0.738,-0.674,-0.896,-1.113,-1.155,-0.344,0.371,0.272
0.12,-1.681,-2.377,-0.697,2.029,-0.491,-1.537,-0.708,-0.738,-0.674,-0.894,-1.115,-1.155,-0.344,0.365,0.273
0.121,-1.684,-2.381,-0.697,2.033,-0.493,-1.539,-0.706,-0.739,-0.673,-0.892,-1.115,-1.155,-0.344,0.366,0.273
0.122,-1.687,-2.382,-0.696,2.034,-0.495,-1.539,-0.705,-0.737,-0.673,-0.892,-1.115,-1.153,-0.344,0.369,0.272
0.123,-1.688,-2.385,-0.697,2.036,-0.494,-1.54,-0.706,-0.739,-0.675,-0.894,-1.115,-1.155,-0.344,0.371,0.272
0.124,-1.688,-2.382,-0.695,2.035,-0.496,-1.538,-0.708,-0.742,-0.675,-0.898,-1.115,-1.157,-0.344,0.374,0.272
0.125,-1.688,-2.381,-0.694,2.034,-0.496,-1.538,-0.707,-0.741,-0.673,-0.898,-1.115,-1.156,-0.344,0.367,0.273
0.126,-1.685,-2.38,-0.695,2.032,-0.494,-1.538,-0.704,-0.739,-0.671,-0.897,-1.115,-1.155,-0.346,0.368,0.273
0.127,-1.684,-2.377,-0.693,2.03,-0.495,-1.535,-0.704,-0.739,-0.671,-0.898,-1.116,-1.154,-0.346,0.375,0.272
0.128,-1.685,-2.376,-0.692,2.03,-0.496,-1.534,-0.704,-0.738,-0.671,-0.899,-1.117,-1.153,-0.345,0.375,0.272
0.129,-1.684,-2.371,-0.687,2.027,-0.498,-1.529,-0.701,-0.737,-0.67,-0.902,-1.117,-1.155,-0.347,0.378,0.27
0.13,-1.685,-2.369,-0.683,2.026,-0.5,-1.526,-0.701,-0.737,-0.671,-0.904,-1.117,-1.155,-0.348,0.376,0.269
0.131,-1.681,-2.368,-0.686,2.025,-0.497,-1.527,-0.701,-0.735,-0.669,-0.904,-1.115,-1.153,-0.345,0.381,0.269
0.132,-1.679,-2.365,-0.687,2.022,-0.495,-1.526,-0.7,-0.731,-0.666,-0.902,-1.113,-1.151,-0.344,0.384,0.269
0.133,-1.673,-2.36,-0.687,2.017,-0.492,-1.524,-0.701,-0.727,-0.665,-0.897,-1.111,-1.149,-0.343,0.382,0.267
0.134,-1.667,-2.353,-0.688,2.01,-0.488,-1.52,-0.701,-0.723,-0.662,-0.893,-1.107,-1.146,-0.34,0.389,0.264
0.135,-1.664,-2.351,-0.687,2.007,-0.488,-1.519,-0.702,-0.721,-0.658,-0.891,-1.105,-1.143,-0.338,0.389,0.265
0.136,-1.657,-2.345,-0.688,2.002,-0.484,-1.516,-0.704,-0.716,-0.655,-0.887,-1.103,-1.142,-0.336,0.387,0.263
0.137,-1.653,-2.342,-0.689,1.998,-0.482,-1.516,-0.702,-0.711,-0.65,-0.881,-1.099,-1.139,-0.333,0.389,0.263
0.138,-1.651,-2.338,-0.688,1.994,-0.481,-1.512,-0.706,-0.712,-0.648,-0.878,-1.097,-1.137,-0.329,0.391,0.264
0.139,-1.649,-2.334,-0.684,1.992,-0.482,-1.51,-0.709,-0.709,-0.648,-0.874,-1.095,-1.136,-0.329,0.392,0.259
0.14,-1.651,-2.333,-0.681,1.992,-0.484,-1.507,-0.709,-0.706,-0.646,-0.87,-1.095,-1.135,-0.326,0.392,0.258
0.141,-1.649,-2.331,-0.682,1.99,-0.482,-1.506,-0.707,-0.704,-0.642,-0.866,-1.091,-1.133,-0.325,0.395,0.256
0.142,-1.645,-2.326,-0.681,1.986,-0.481,-1.504,-0.704,-0.7,-0.639,-0.863,-1.087,-1.131,-0.325,0.406,0.252
0.143,-1.645,-2.322,-0.676,1.984,-0.484,-1.499,-0.7,-0.701,-0.64,-0.863,-1.087,-1.133,-0.327,0.416,0.249
0.144,-1.651,-2.319,-0.668,1.984,-0.49,-1.494,-0.695,-0.701,-0.64,-0.863,-1.087,-1.133,-0.33,0.419,0.247
0.145,-1.656,-2.317,-0.661,1.986,-0.497,-1.489,-0.691,-0.701,-0.643,-0.866,-1.09,-1.135,-0.332,0.422,0.246
0.146,-1.656,-2.318,-0.662,1.988,-0.496,-1.49,-0.685,-0.703,-0.643,-0.866,-1.09,-1.135,-0.333,0.424,0.246
0.147,-1.657,-2.314,-0.658,1.986,-0.498,-1.486,-0.684,-0.701,-0.639,-0.863,-1.089,-1.133,-0.33,0.431,0.245
0.148,-1.656,-2.309,-0.653,1.982,-0.501,-1.482,-0.683,-0.699,-0.637,-0.863,-1.087,-1.131,-0.33,0.442,0.243
0.149,-1.651,-2.304,-0.652,1.977,-0.499,-1.478,-0.686,-0.7,-0.636,-0.864,-1.083,-1.128,-0.329,0.447,0.242
0.15,-1.651,-2.296,-0.645,1.974,-0.502,-1.47,-0.689,-0.697,-0.633,-0.863,-1.079,-1.125,-0.327,0.452,0.243
0.151,-1.654,-2.295,-0.64,1.974,-0.506,-1.468,-0.682,-0.697,-0.633,-0.863,-1.079,-1.125,-0.329,0.463,0.241
0.152,-1.661,-2.299,-0.637,1.98,-0.511,-1.468,-0.671,-0.698,-0.634,-0.864,-1.081,-1.129,-0.334,0.462,0.237
0.153,-1.663,-2.301,-0.638,1.983,-0.512,-1.47,-0.663,-0.698,-0.637,-0.864,-1.083,-1.131,-0.336,0.453,0.234
0.154,-1.662,-2.3,-0.638,1.981,-0.511,-1.469,-0.663,-0.7,-0.638,-0.865,-1.085,-1.132,-0.338,0.453,0.235
0.155,-1.667,-2.303,-0.636,1.984,-0.515,-1.47,-0.662,-0.701,-0.64,-0.865,-1.086,-1.135,-0.339,0.448,0.235
0.156,-1.666,-2.308,-0.641,1.986,-0.512,-1.474,-0.663,-0.705,-0.643,-0.867,-1.087,-1.134,-0.34,0.432,0.237
0.157,-1.664,-2.308,-0.644,1.986,-0.509,-1.476,-0.67,-0.707,-0.645,-0.868,-1.087,-1.135,-0.338,0.429,0.24
0.158,-1.665,-2.312,-0.646,1.988,-0.509,-1.478,-0.677,-0.708,-0.646,-0.865,-1.086,-1.133,-0.336,0.43,0.244
0.159,-1.667,-2.314,-0.648,1.99,-0.508,-1.482,-0.681,-0.712,-0.647,-0.862,-1.087,-1.132,-0.337,0.428,0.245
0.16,-1.663,-2.312,-0.648,1.988,-0.507,-1.48,-0.688,-0.715,-0.649,-0.862,-1.088,-1.133,-0.335,0.43,0.246
0.161,-1.663,-2.311,-0.647,1.987,-0.507,-1.48,-0.694,-0.715,-0.648,-0.86,-1.087,-1.132,-0.333,0.435,0.246
0.162,-1.663,-2.309,-0.646,1.986,-0.508,-1.478,-0.702,-0.717,-0.65,-0.862,-1.088,-1.131,-0.332,0.441,0.248
0.163,-1.665,-2.308,-0.643,1.986,-0.51,-1.476,-0.709,-0.717,-0.65,-0.864,-1.087,-1.132,-0.333,0.44,0.249
0.164,-1.667,-2.308,-0.641,1.987,-0.512,-1.474,-0.713,-0.716,-0.649,-0.864,-1.087,-1.133,-0.332,0.443,0.251
0.165,-1.664,-2.304,-0.641,1.984,-0.511,-1.472,-0.721,-0.718,-0.65,-0.866,-1.084,-1.129,-0.329,0.445,0.253
0.166,-1.665,-2.305,-0.641,1.984,-0.511,-1.473,-0.726,-0.717,-0.65,-0.866,-1.082,-1.129,-0.328,0.445,0.254
0.167,-1.661,-2.304,-0.643,1.983,-0.509,-1.474,-0.733,-0.716,-0.652,-0.867,-1.086,-1.132,-0.328,0.449,0.255
0.168,-1.661,-2.303,-0.642,1.982,-0.508,-1.473,-0.739,-0.715,-0.649,-0.869,-1.085,-1.129,-0.327,0.452,0.255
0.169,-1.657,-2.294,-0.636,1.976,-0.51,-1.465,-0.747,-0.712,-0.643,-0.867,-1.08,-1.123,-0.322,0.452,0.253
0.17,-1.647,-2.28,-0.632,1.964,-0.507,-1.456,-0.761,-0.708,-0.636,-0.863,-1.073,-1.117,-0.316,0.458,0.254
0.171,-1.635,-2.271,-0.635,1.953,-0.499,-1.454,-0.772,-0.702,-0.628,-0.858,-1.067,-1.113,-0.309,0.463,0.254
0.172,-1.63,-2.266,-0.635,1.948,-0.496,-1.451,-0.788,-0.698,-0.625,-0.853,-1.065,-1.111,-0.301,0.464,0.254
0.173,-1.627,-2.264,-0.636,1.946,-0.495,-1.45,-0.796,-0.698,-0.623,-0.85,-1.064,-1.109,-0.297,0.468,0.256
0.174,-1.619,-2.263,-0.643,1.942,-0.487,-1.454,-0.803,-0.699,-0.623,-0.849,-1.062,-1.106,-0.292,0.467,0.258
0.175,-1.621,-2.265,-0.644,1.943,-0.488,-1.454,-0.806,-0.701,-0.623,-0.848,-1.062,-1.106,-0.291,0.469,0.26
0.176,-1.625,-2.272,-0.647,1.948,-0.488,-1.459,-0.807,-0.706,-0.625,-0.849,-1.063,-1.107,-0.291,0.472,0.261
0.177,-1.627,-2.275,-0.647,1.951,-0.489,-1.461,-0.81,-0.711,-0.629,-0.85,-1.065,-1.109,-0.291,0.466,0.26
